type,Q/R
,
,
[Classif Ordo Marqu] Qu'est ce que la classification par flux ?,Classification en fonction d'un ou plusieurs champs d'en-tête.
[Classif Ordo Marqu] Qu'est ce que la classification par agrégat ?,Classification en fonction d'un seul champ : DSCP
[Classif Ordo Marqu] Qu'est ce que DSCP ?,Differentiated Service Code Point
[Classif Ordo Marqu] La classification par flux est-elle scalable ? Celle par agrégat ?,"Flux, non, il faut des tables avec deux, voire plus de champs. Agrégat oui car c'est juste un champ."
[Classif Ordo Marqu] Que faut-il changer en cas de modification de la politique de gestion des paquets dans le cas d'une classif par Agrégat ?,Juste le premier routeur => Modif Transparente.
[Classif Ordo Marqu] Donnez le principe de base de DIFFSERV.,Simplifier le travail des routeurs en aval de R1.
[Ordonnancement] Quels sont les type d'ordonnancement ?,"FIFO, Priorité, Round Robin, Weighted Fair Queing."
[Ordonnancement] Expliquez le fonctionnement de FIFO.,"Si un paquet arrive et que la file est vide alors il est traité. Si un paquet arrive et que la file n'est pas vide, il est mis en attente."
[Ordonnancement] Qu'est ce que le tail drop ?,C'est quand la file est pleine on jette.
[Ordonnancement] Expliquez le fonctionnement de Priorité.,"Les paquets arrivent et sont séparés en deux files. Si la plus prioritaire n'est pas vide, on la traite, sinon on traite l'autre. /!\ Pas de préemption d'un paquet en cours de service."
[Ordonnancement] Expliquez le fonctionnement de Round Robin.,"Il s'agit d'un tourniquet sur N files. On traite un paquet de la file 1, puis 2, …, puis N et on recommence. Cela réparti équitablement la bande passante."
[Ordonnancement] Expliquez le fonctionnement de Weighted Fair Queueing.,On donne un poids aux files Wi. On fait ensuite un tourniquet en essayant de garantir Fi = D * wi/Sum(wj). C'est dur parce que les paquets sont de taille variable et tranmission non préamptible.
[Contrôle d'admission] Qu'est ce que le contrôle d'admission ?,Mécanisme permettant à un routeur d'accepter ou de refuser une requête de réservation de ressource.
[Contrôle d'admission] Sur quel type de proto repose le contrôle d'admission ?,Sur un protocole de signalisation.
[Contrôle d'admission] Quel est le protocole de signalisation le plus connu ? Comment il fonctionne ?,"RSVP de l'approche IntServ. On demande aux routeurs sur le chemin une réservation de ressources, ils peuvent, indépendamment des autres accepter ou refuser avec un algorithme local. Suivant la réponse, on fait dans un troisième temps la réservation."
[Contrôle d'admission] Quels sont les paramètres importants pour décrire le trafic qu'une machine génère ? À quoi servent-ils ?,"Le débit moyen, le débit max, la taille max des rafales. C'est important pour l'opérateur pour qu'il puisse satisfaire un max de requêtes correctement. Ex : TSPEC modèle qui les utilise."
[Contrôle de conformité] Qu'est ce que le policing et quels sont les actions de rétorsion ?,"On mesure le trafic et on vérifie s'il est conforme. Rétorsion : rétention des paquets non conformes, rejet, re-marquage pour que in-fine le trafic soit conforme à la caractérisation annoncée."
[Mise en forme] Qu'est ce que le shaping ? À quoi sert-il ?,"Le shaping c'est la mise en forme du trafic. Si un site S1 à un accord avec S2, il se peut que la Sum des trafics venant des hôtes interne, ne respecte pas pendant une courte période le contrat, il faut donc le shaper."
